feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,best_gate
25,congestion_price_da,25,40,gross_actual_interchange_mw,0.0669782378305426,0.1189325161564718,0.1777978593468535,0.0638657214345287,0.2156288585055606,0.0685723631286656,1,1,1,0,1,1,5,0.2156288585055606,0.571455
26,marginal_loss_price_da,26,41,gross_actual_interchange_mw,0.05613169737946,0.1715323062655519,0.1910406563906154,0.1037336669446761,0.2053931679547734,0.0384285217752778,1,1,1,1,1,0,5,0.2053931679547734,0.57489234
27,da_as_as_req_mw_primary_reserve,27,30,gross_actual_interchange_mw,0.0626033776164184,0.1826366409707608,0.1205486821682216,0.1113274951348345,0.0994759408373375,0.0628086557202075,1,1,1,1,0,1,5,0.1826366409707608,0.5373069
28,gen_fuel_storage_mw,28,13,gross_actual_interchange_mw,0.0602172389163182,0.1485596315566039,0.1590278735544665,0.0766235752015568,0.145742574383235,0.0530036118532629,1,1,1,0,1,1,5,0.1590278735544665,0.5465327
29,net_inadv_interchange_mw,29,48,gross_actual_interchange_mw,0.0192905720317302,0.1128200168956708,0.1104843627831562,0.0715763135946622,0.1080092587387964,0.3809999034259171,0,1,1,0,1,1,4,0.3809999034259171,0.5183226
30,gen_fuel_nuclear_pct,30,19,gross_actual_interchange_mw,0.0494037542875679,-0.2693663909743404,-0.2656265774772899,-0.1632596608284681,0.2400707474067206,0.0265452251672845,0,1,1,1,1,0,4,0.2693663909743404,0.38281024
31,gen_fuel_oil_pct,31,20,gross_actual_interchange_mw,0.0385749475426046,0.1254230390680333,0.1857569986084278,0.1300750625521267,0.2319457942532135,0.0269348727893338,0,1,1,1,1,0,4,0.2319457942532135,0.56876266
32,gen_fuel_other_renewables_pct,32,21,gross_actual_interchange_mw,0.032386906305471,-0.1903976339968809,-0.2084133256118601,-0.1339199332777314,0.1983549530777308,0.0272154231270485,0,1,1,1,1,0,4,0.2084133256118601,0.38534465
33,gen_fuel_gas_pct,33,16,gross_actual_interchange_mw,0.0335847970614729,0.1949408953845733,0.20767203191013,0.1270364192382541,0.2014543828587836,0.0273120929033153,0,1,1,1,1,0,4,0.20767203191013,0.56818396
34,gen_fuel_multiple_fuels_pct,34,18,gross_actual_interchange_mw,0.0348907344549601,0.1564183692900597,0.1346669118345547,0.115929941618015,0.1814694408560474,0.0273628471066088,0,1,1,1,1,0,4,0.1814694408560474,0.5411445
35,da_as_as_req_mw_synchronized_reserve,35,31,gross_actual_interchange_mw,0.0654622221513953,0.1611164942813066,0.0952685043753502,0.1031123158187378,0.0917971938578144,0.0634448649757001,1,1,0,1,0,1,4,0.1611164942813066,0.5275701
36,da_as_total_mw_primary_reserve,36,33,gross_actual_interchange_mw,0.0371185752932376,0.1096534624105518,0.1122275834798302,0.0785223797609118,0.108891228344574,0.1138263919174337,0,1,1,0,1,1,4,0.1138263919174337,0.51046675
37,gen_fuel_hydro_mw,37,7,gross_actual_interchange_mw,0.0434383721621005,0.0427372244357142,0.1034541073255749,0.0322490964692799,0.1472852037060381,0.751035930539274,0,0,1,0,1,1,3,0.751035930539274,0.5595436
38,congestion_price_rt,38,44,gross_actual_interchange_mw,0.0460723193626006,0.1865253553351271,0.0922544505994426,0.1626188490408674,0.2013359024567615,0.0305888219331619,0,1,0,1,1,0,3,0.2013359024567615,0.55822146
39,net_actual_interchange_mw,39,46,gross_actual_interchange_mw,0.0425472097586301,-0.002119736902664,-0.0530044541506254,0.0122643869891576,0.1034474538282948,0.8518722647559562,0,0,0,0,1,1,2,0.8518722647559562,0.5115368
40,da_as_total_mw_thirty_minutes_reserve,40,35,gross_actual_interchange_mw,0.0294570284139579,0.0626911794045248,0.0519708962617626,0.0588128996385877,0.1080041330988613,0.8419978305156671,0,0,0,0,1,1,2,0.8419978305156671,0.541943
41,da_as_as_req_mw_thirty_minutes_reserve,41,32,gross_actual_interchange_mw,0.0796321524795337,0.127663314932965,0.0981890906391507,0.0521615234917987,0.065563835596562,0.0338358018580416,1,1,0,0,0,0,2,0.127663314932965,0.5139829
42,da_as_mcp_synchronized_reserve,42,29,gross_actual_interchange_mw,0.0750814417720634,0.0615903953753198,0.0572307411171133,0.0165457325549068,0.0767562832905456,0.0616869106237874,1,0,0,0,0,1,2,0.0767562832905456,0.49333203
43,da_as_mcp_primary_reserve,43,28,gross_actual_interchange_mw,0.0680508464370964,0.0672710182565735,0.0195690750841925,0.0117931609674728,0.0591261853066181,0.0569125432625605,1,0,0,0,0,1,2,0.0680508464370964,0.47443238
44,net_sched_interchange_mw,44,47,gross_actual_interchange_mw,0.0386114020783323,0.0140743526811833,-0.0334742727946756,-0.0133527939949958,0.0953437868318933,0.8279776023130275,0,0,0,0,0,1,1,0.8279776023130275,0.505551
45,gen_fuel_wind_mw,45,14,gross_actual_interchange_mw,0.0301592071394382,0.0379522740648112,0.0365040900892084,0.0063344453711426,0.068757809666062,0.8278202845942095,0,0,0,0,0,1,1,0.8278202845942095,0.5132383
46,wind_generation_mw,46,3,gross_actual_interchange_mw,0.0302131583737128,0.0358201559879773,0.0416932443945156,0.0239421740339171,0.0641101949548526,0.820770349571244,0,0,0,0,0,1,1,0.820770349571244,0.51555604
47,da_as_nsr_mw_primary_reserve,47,37,gross_actual_interchange_mw,0.0378659561570896,0.089357558650024,0.0893971518134214,0.0407436752849596,0.0682893573611878,0.3129743161149216,0,0,0,0,0,1,1,0.3129743161149216,0.50038356
48,da_as_total_mw_synchronized_reserve,48,34,gross_actual_interchange_mw,0.0287226427322861,0.0542020420787979,0.0487588395750734,-0.0122477064220183,0.0770297835175609,0.203373156622232,0,0,0,0,0,1,1,0.203373156622232,0.46495807
49,gen_fuel_hydro_pct,49,17,gross_actual_interchange_mw,0.0453432184633299,-0.0254965951164734,0.0175600922510835,-3.892132332499305e-05,0.134467398034081,0.0262644972876751,0,0,0,0,1,0,1,0.134467398034081,0.46593034
