area_1_load_actual_mw,area_2_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day,month_of_year
1.256043,-0.8974417,-1.0044361,1.3609962,-0.99343604,-0.82355744,-0.8926887,1.6444911,1.6166345,-0.541915,0.4442484,-0.85814,0.977448,-0.6742719,0.90528923,-0.46554348,-0.95949113,0.6253576,1.4890412,1.3045669,1.3792286,-0.9043633,1.560511,1.3562975,0.8789235,1.5127112,-0.72983927,-0.38351423,-0.9285184,1.0102907,-0.47729206,1.1510668,-0.73040986,-0.954597
1.2734071,-0.92453873,-1.0291259,1.3861641,-1.0176184,-0.8555431,-0.92215675,1.6550422,1.62052,-0.6009045,0.43180916,-0.88978213,0.98399466,-0.71701765,0.9077273,-0.52500296,-0.9875895,0.61127967,1.5157335,1.3320746,1.3961782,-0.9343759,1.5686667,1.3815043,0.88009876,1.5315895,-0.76912725,-0.45123756,-0.9576939,1.0393891,-0.53600013,1.1630434,-0.76902676,-0.98771614
1.3026682,-0.95169413,-1.0505042,1.4091845,-1.0420784,-0.8865845,-0.9496699,1.6731375,1.6366719,-0.6477106,0.4057854,-0.9149749,0.9987048,-0.754257,0.91610533,-0.57904094,-1.0119131,0.6077122,1.5221522,1.3666679,1.4159245,-0.9627049,1.5823092,1.4023217,0.8851732,1.5469763,-0.8047596,-0.5145148,-0.98519826,1.0676084,-0.5898271,1.1727643,-0.8059227,-1.0082644
1.339494,-0.9788511,-1.075444,1.4496828,-1.0632931,-0.9177425,-0.981623,1.6945553,1.6462129,-0.6872874,0.38093978,-0.9433071,1.007729,-0.78791124,0.9273847,-0.62210757,-1.0348705,0.60300076,1.5633013,1.4140142,1.4305385,-0.9875895,1.6051542,1.4033549,0.8880629,1.5683737,-0.84218633,-0.57340187,-1.0002089,1.0942079,-0.64180976,1.1841695,-0.84205973,-1.0302027
1.3639016,-1.0011957,-1.0900388,1.4801711,-1.0872306,-0.9490686,-1.0080715,1.7136912,1.6640186,-0.7335177,0.35982314,-0.9746184,1.0222665,-0.82277524,0.9293362,-0.66372937,-1.0623288,0.5894131,1.5850465,1.4464362,1.4594411,-1.0124495,1.6162052,1.4237454,0.89206487,1.5851666,-0.87614065,-0.62650317,-1.0207869,1.1218836,-0.6812746,1.191,-0.8775344,-1.0588036
1.3923571,-1.0287123,-1.1072124,1.5109527,-1.1079838,-0.9771734,-1.0339209,1.7260079,1.6873778,-0.7773437,0.33894232,-1.0062081,1.0230026,-0.8463362,0.9331069,-0.7047249,-1.0803,0.58217347,1.6005819,1.4804358,1.4766613,-1.038529,1.6383578,1.4482635,0.88617885,1.6094812,-0.9083594,-0.6767759,-1.0444541,1.1424354,-0.7164353,1.1937895,-0.91902834,-1.0789876
1.4158931,-1.0578098,-1.1272949,1.5403783,-1.1324955,-1.0054001,-1.0586201,1.7574723,1.6979115,-0.81751907,0.31295118,-1.0298599,1.0194448,-0.8843616,0.93180084,-0.748434,-1.103262,0.58086216,1.6173931,1.5146356,1.5108224,-1.0630234,1.6506988,1.4748915,0.88227934,1.6242344,-0.9394315,-0.7228059,-1.0680155,1.164593,-0.7547567,1.2011205,-0.951787,-1.1046594
1.4333283,-1.0771129,-1.1502222,1.5682418,-1.1595404,-1.0309294,-1.0831416,1.786976,1.7058226,-0.847934,0.28350034,-1.0566068,1.0322722,-0.9145764,0.9313891,-0.79168284,-1.1265868,0.57108474,1.6437433,1.5513167,1.5180571,-1.0848166,1.6738541,1.5023117,0.8824355,1.6400537,-0.9707543,-0.76675165,-1.0894071,1.1816409,-0.79706097,1.2140194,-0.976429,-1.1221865
1.4497832,-1.0998669,-1.1688067,1.5752527,-1.1791549,-1.056744,-1.1061519,1.7984382,1.7226145,-0.88660777,0.24361654,-1.0817653,1.0480307,-0.943319,0.9385896,-0.831115,-1.1515051,0.56639004,1.6683006,1.5725417,1.5335474,-1.1084828,1.6844202,1.5251992,0.8792118,1.6657984,-0.9975167,-0.8065356,-1.1121238,1.2253008,-0.82948303,1.2203938,-1.0040033,-1.1498568
1.4652528,-1.1205742,-1.1870741,1.6010007,-1.1976355,-1.081678,-1.1288935,1.8053243,1.7297723,-0.9178616,0.18928264,-1.1073151,1.055007,-0.9693763,0.94087714,-0.8683277,-1.1780257,0.55303854,1.6843987,1.6006087,1.5454345,-1.1314136,1.7140852,1.5388839,0.868933,1.6798921,-1.0255582,-0.8479864,-1.1312099,1.2456723,-0.859605,1.2257934,-1.0284512,-1.1774129
1.4862803,-1.1345415,-1.2050436,1.6264919,-1.2162606,-1.1083894,-1.1505171,1.8286364,1.7468505,-0.9505652,0.12749983,-1.1298631,1.058358,-0.9955702,0.94195276,-0.89685744,-1.1982151,0.5432005,1.7060246,1.6405104,1.5524446,-1.1568092,1.7231883,1.5593516,0.86208534,1.7051438,-1.0499905,-0.88824487,-1.1541078,1.2727729,-0.89186525,1.2352488,-1.0505894,-1.1953053
1.5118752,-1.1593262,-1.2274281,1.6538405,-1.2320962,-1.1296972,-1.1709712,1.8375565,1.7609082,-0.9722701,0.066443175,-1.152175,1.064492,-1.0212651,0.94883436,-0.9301119,-1.2178532,0.54189944,1.7176327,1.6648262,1.5696473,-1.1764085,1.7390654,1.5766846,0.8587449,1.7330909,-1.0743653,-0.9219601,-1.169128,1.2929032,-0.9219035,1.2421775,-1.0702106,-1.2157006
1.519707,-1.1728853,-1.2408718,1.6774037,-1.2497005,-1.151177,-1.1903362,1.8461342,1.7892438,-0.9987558,-0.00860403,-1.170858,1.0735637,-1.0462755,0.94599915,-0.95417094,-1.2379148,0.52450705,1.7239802,1.6935197,1.588668,-1.1967554,1.7544727,1.6094657,0.8470216,1.7470374,-1.0950732,-0.9518692,-1.1861392,1.3149838,-0.94954205,1.2426004,-1.0887772,-1.2327552
1.558231,-1.1927868,-1.2565454,1.6863911,-1.2669975,-1.1727309,-1.2116122,1.8589764,1.7942703,-1.0332049,-0.073963195,-1.1883893,1.0776005,-1.0719019,0.9415742,-0.9853622,-1.2477833,0.51018685,1.7438804,1.7200673,1.6202211,-1.2176238,1.7594802,1.6196101,0.8263715,1.7616801,-1.1210405,-0.9856669,-1.2061298,1.3504976,-0.9709766,1.2517589,-1.1143848,-1.2517211
1.5975137,-1.2122066,-1.2765672,1.7120072,-1.2848499,-1.1931349,-1.2309499,1.8809451,1.8168784,-1.0595694,-0.14053163,-1.2061065,1.0735564,-1.0851115,0.93104553,-1.0151389,-1.2685962,0.49329203,1.7637295,1.73128,1.6376803,-1.2370222,1.7708478,1.6407782,0.80933243,1.7728622,-1.1440301,-1.0145701,-1.2241791,1.3731269,-0.99441636,1.2578229,-1.1361729,-1.2681847
