field,entity_type,entity_id,physical_quantity,mathematical_status,variance,n_unique,is_constant,sensitivity_tier,tier_reason,r2_mean_joint,r2_std_joint,r2_mean_grouped,r2_std_grouped,grouping_delta_r2,public27_inferability_grade,recommended_role
branch_b10_p_from_mw,branch,B10,p_from_mw,derived_operational_state,113.72416003945143,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.7773448427518209,0.044256451936535976,0.7545035282770792,0.08300590128700296,-0.022841314474741692,usable_R2_0.70_0.90,primary_target
branch_b10_q_from_mvar,branch,B10,q_from_mvar,derived_operational_state,8.194095221711974,8780,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.7701457142829895,0.04842733483215864,0.7606085538864136,0.06854203979566267,-0.009537160396575928,usable_R2_0.70_0.90,primary_target
branch_b10_p_to_mw,branch,B10,p_to_mw,derived_operational_state,117.59284930334431,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.7712670564651489,0.04247057277432849,0.7570327719052633,0.07739908676649063,-0.014234284559885624,usable_R2_0.70_0.90,primary_target
branch_b10_q_to_mvar,branch,B10,q_to_mvar,derived_operational_state,28.35615826463017,8777,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8828060030937195,0.024347289948424982,0.87687087059021,0.015251529292910265,-0.0059351325035095215,usable_R2_0.70_0.90,primary_target
branch_b10_loading_pct,branch,B10,loading_pct,derived_operational_state,4.448473343601135,8775,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.7390535473823547,0.018914547869709884,0.6731059749921163,0.08979391724052142,-0.06594757239023841,usable_R2_0.70_0.90,hard_target_or_negative_control
gen_121_nuclear_1_pg_mw,generator,121_NUCLEAR_1,pg_mw,control_or_operational_state,11305.040744938862,1763,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.996526817480723,0.0003785919550758294,0.9977469642957052,0.0006548376193655453,0.0012201468149821704,strong_R2_ge_0.90,primary_target
gen_121_nuclear_1_qg_mvar,generator,121_NUCLEAR_1,qg_mvar,control_or_operational_state,1383.3894525108474,8495,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9623210430145264,0.0024464731414507233,0.9579073389371237,0.0032002329789350198,-0.004413704077402714,strong_R2_ge_0.90,primary_target
gen_121_nuclear_1_status,generator,121_NUCLEAR_1,status,control_or_operational_state,0.03192460998802261,2,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8263183832168579,0.00843678220357189,0.8410146633783976,0.008935881650920078,0.014696280161539677,usable_R2_0.70_0.90,primary_target
gen_223_steam_3_pg_mw,generator,223_STEAM_3,pg_mw,control_or_operational_state,274.56938107183083,453,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.03327061732610067,0.23901888341186212,0.34048815568288165,0.06218554606394917,0.307217538356781,not_inferable_R2_lt_0.30,hard_target_or_negative_control
gen_223_steam_3_qg_mvar,generator,223_STEAM_3,qg_mvar,control_or_operational_state,130.95555445337695,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9149564901987711,0.008814319231078494,0.9230333169301351,0.009678224051434686,0.008076826731364006,strong_R2_ge_0.90,primary_target
gen_223_steam_3_status,generator,223_STEAM_3,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_122_wind_1_pg_mw,generator,122_WIND_1,pg_mw,control_or_operational_state,64606.73006650005,6855,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9794956048329672,0.002138578914989504,0.9800939957300822,0.0005885662220277637,0.0005983908971149976,strong_R2_ge_0.90,primary_target
gen_122_wind_1_qg_mvar,generator,122_WIND_1,qg_mvar,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_122_wind_1_status,generator,122_WIND_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_313_cc_1_pg_mw,generator,313_CC_1,pg_mw,control_or_operational_state,24818.974099470277,2124,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9594250520070394,0.0036137728685925016,0.969137946764628,0.002786366981609935,0.00971289475758863,strong_R2_ge_0.90,primary_target
gen_313_cc_1_qg_mvar,generator,313_CC_1,qg_mvar,control_or_operational_state,886.6864544561712,6360,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8706738948822021,0.005014023541596869,0.8976701100667318,0.004299539682039855,0.02699621518452966,usable_R2_0.70_0.90,primary_target
gen_313_cc_1_status,generator,313_CC_1,status,control_or_operational_state,0.1998554122041732,2,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8119641145070394,0.006217845617556359,0.8633103768030802,0.004786366557459637,0.05134626229604078,usable_R2_0.70_0.90,primary_target
gen_317_wind_1_pg_mw,generator,317_WIND_1,pg_mw,control_or_operational_state,57539.62905605637,6950,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9295141696929932,0.008389010268416177,0.9107703566551208,0.0028447235308903017,-0.018743813037872314,strong_R2_ge_0.90,primary_target
gen_317_wind_1_qg_mvar,generator,317_WIND_1,qg_mvar,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_317_wind_1_status,generator,317_WIND_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_218_cc_1_pg_mw,generator,218_CC_1,pg_mw,control_or_operational_state,18627.37012235934,2390,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9192488392194113,0.0010671277095388285,0.9150239825248718,0.00864998910323849,-0.004224856694539425,strong_R2_ge_0.90,primary_target
gen_218_cc_1_qg_mvar,generator,218_CC_1,qg_mvar,control_or_operational_state,197.89158733545239,6758,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.5298967162768046,0.042914959066136626,0.634075383345286,0.022751055435336863,0.10417866706848145,weak_R2_0.30_0.70,hard_target_or_negative_control
gen_218_cc_1_status,generator,218_CC_1,status,control_or_operational_state,0.17744876219720573,2,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8677661816279093,0.012720957952265391,0.8853451609611511,0.015391772900146516,0.017578979333241818,usable_R2_0.70_0.90,primary_target
gen_303_wind_1_pg_mw,generator,303_WIND_1,pg_mw,control_or_operational_state,53174.3000779228,7138,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9309664964675903,0.005274001497708709,0.909643292427063,0.005783048167419154,-0.021323204040527344,strong_R2_ge_0.90,primary_target
gen_303_wind_1_qg_mvar,generator,303_WIND_1,qg_mvar,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_303_wind_1_status,generator,303_WIND_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_216_steam_1_pg_mw,generator,216_STEAM_1,pg_mw,control_or_operational_state,0.09246287031628722,5,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,,,,,,test_segment_has_no_variance,test_segment_no_variance_needs_followup
gen_216_steam_1_qg_mvar,generator,216_STEAM_1,qg_mvar,control_or_operational_state,439.7536227158664,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9413965145746866,0.009600105099738179,0.951260507106781,0.003200413512198271,0.009863992532094357,strong_R2_ge_0.90,primary_target
gen_216_steam_1_status,generator,216_STEAM_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
gen_321_cc_1_pg_mw,generator,321_CC_1,pg_mw,control_or_operational_state,25954.066156045104,887,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9763650894165039,0.0025815188709337063,0.9787901441256205,0.0012544602000075101,0.002425054709116581,strong_R2_ge_0.90,primary_target
gen_321_cc_1_qg_mvar,generator,321_CC_1,qg_mvar,control_or_operational_state,80.60403237746611,4132,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9308404127756754,0.00023710647779138282,0.9426812926928202,0.0031439685525311207,0.011840879917144775,strong_R2_ge_0.90,primary_target
gen_321_cc_1_status,generator,321_CC_1,status,control_or_operational_state,0.24911713081160974,2,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9311446746190389,0.010304757626165612,0.9682641426722208,0.005456018411441684,0.03711946805318189,strong_R2_ge_0.90,primary_target
gen_123_steam_3_pg_mw,generator,123_STEAM_3,pg_mw,control_or_operational_state,15642.15557936505,1132,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.7352285981178284,0.02066237037075648,0.7595189015070597,0.015923430153437952,0.024290303389231327,usable_R2_0.70_0.90,primary_target
gen_123_steam_3_qg_mvar,generator,123_STEAM_3,qg_mvar,control_or_operational_state,22.501901529794925,2532,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.6708411971728007,0.0059327944707425395,0.753629465897878,0.008036607973525307,0.08278826872507739,weak_R2_0.30_0.70,primary_target
gen_123_steam_3_status,generator,123_STEAM_3,status,control_or_operational_state,0.20516251605004626,2,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.715425173441569,0.0014352884976673217,0.7833271225293478,0.019895337205531466,0.0679019490877788,usable_R2_0.70_0.90,primary_target
