solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
7.0960306e-28,1.2875464e-09,0.53643495,0.05923346,0.1546145,0.32016113,0.22913875,0.13666381,8.5224625e-26,0.07743253,0.004411328,0.0010312392,0.29949445,1.1336978e-21,1.0708909e-33,0.39568233,1.3136781e-17,4.864878e-14,0.2843712,0.069586106,1.740237e-27,3.832944e-09,1.8701431e-12,0.22328986,0.4843265,6.779671e-20,1.6147345e-24,0.0817566,0.11051358,5.256839e-21,0.14005934,0.00020401886,0.31173995,0.067454845
2.5706752e-30,2.2978079e-10,0.53356016,0.05843481,0.15623085,0.3183325,0.22860524,0.13867737,5.216929e-28,0.074699596,0.0027241334,0.0006542313,0.2882276,1.6559735e-23,1.0370966e-36,0.39284387,4.7620126e-19,3.6373966e-15,0.27668875,0.06975734,7.0871295e-30,6.970853e-10,1.918647e-13,0.2124666,0.4748108,1.3288252e-21,1.1573315e-26,0.08266285,0.10813714,8.5575883e-23,0.13576561,0.000114048205,0.3011137,0.06631329
5.704645e-33,3.591513e-11,0.5276585,0.05862751,0.16187884,0.31821224,0.21079257,0.13588065,2.0653107e-30,0.07452697,0.0015841764,0.00039915036,0.27875385,1.7033406e-25,5.30529e-40,0.38816217,1.321246e-20,2.2166283e-16,0.2687748,0.066044115,1.7899014e-32,1.1120071e-10,1.6475755e-14,0.21613905,0.45504248,1.885312e-23,5.450383e-29,0.081575975,0.10733922,9.910829e-25,0.1331849,6.0787577e-05,0.28954342,0.06521341
7.358638e-36,4.8646664e-12,0.5183795,0.06322897,0.1609783,0.31612676,0.20502824,0.13744178,5.0579362e-33,0.07606012,0.0008798829,0.0002350717,0.2790248,1.1934205e-27,1.33e-43,0.382118,2.7402016e-22,1.0821634e-17,0.26213557,0.06436983,2.6652458e-35,1.5397843e-11,1.1669134e-15,0.21104321,0.4485457,1.8790721e-25,1.6168212e-31,0.08043211,0.10757044,7.908514e-27,0.1322932,3.104252e-05,0.28501418,0.065010294
5.192e-39,5.644657e-13,0.517706,0.062093273,0.15859419,0.30802643,0.18942936,0.13747002,7.2819916e-36,0.070174664,0.0004510795,0.00013275808,0.2608425,5.4859588e-30,0.0,0.37793073,4.1377545e-24,4.152945e-19,0.25382823,0.061621465,2.2069366e-38,1.8297907e-12,6.707838e-17,0.19984065,0.43216625,1.2722275e-27,2.878738e-34,0.0815512,0.10400893,4.1943444e-29,0.12732027,1.5025518e-05,0.29397276,0.06303951
1.865e-42,5.5407556e-14,0.51109236,0.063952476,0.16438498,0.3080081,0.18301119,0.13364127,5.810184e-39,0.06932783,0.0002196399,7.183886e-05,0.2549606,1.5856843e-32,0.0,0.37434545,4.4176944e-26,1.2268835e-20,0.24800281,0.06102877,9.49e-42,1.8430755e-13,3.074686e-18,0.19726993,0.43048826,5.6338002e-30,2.9098765e-37,0.08027012,0.10437971,1.4194556e-31,0.12731947,6.8739296e-06,0.28464133,0.063522585
0.0,4.5381963e-15,0.5058785,0.06365125,0.16585907,0.30515864,0.17409013,0.13061158,2.398e-42,0.07014327,0.00010001064,3.712207e-05,0.25133854,2.7452864e-35,0.0,0.36928067,3.227123e-28,2.7264234e-22,0.24191476,0.06226569,1e-45,1.5523854e-14,1.1021578e-19,0.1932741,0.42499113,1.5631343e-32,1.56489e-40,0.078917176,0.10447174,2.9261558e-34,0.122418776,2.9639693e-06,0.27366346,0.06498612
0.0,3.0553172e-16,0.49976346,0.065073006,0.16768326,0.3005765,0.1673145,0.13337463,0.0,0.06735444,4.2978198e-05,1.825881e-05,0.2462489,2.6916968e-38,0.0,0.36767295,1.55441665e-30,4.4420963e-24,0.2358278,0.06112957,0.0,1.0772888e-15,3.024057e-21,0.18725045,0.41955742,2.5870926e-35,4.2e-44,0.07993569,0.10274906,3.4833706e-37,0.12286474,1.201729e-06,0.2699119,0.06137779
0.0,1.6631543e-17,0.49436983,0.06493438,0.17262849,0.29577887,0.16316566,0.13045906,0.0,0.06615726,1.7268216e-05,8.515758e-06,0.23357803,1.4e-41,0.0,0.3664073,4.734326e-33,5.1568617e-26,0.22925755,0.055885926,0.0,6.0602044e-17,6.201864e-23,0.18393087,0.4132798,2.4132977e-38,0.0,0.077414624,0.10152861,2.25047e-40,0.11875463,4.5418028e-07,0.26462182,0.05868289
0.0,7.1887873e-19,0.49428487,0.06299551,0.17232364,0.29421481,0.15606882,0.13229667,0.0,0.06411086,6.471092e-06,3.7515665e-06,0.22503059,4e-45,0.0,0.36058936,8.691986e-36,4.1315405e-28,0.22088249,0.057121992,0.0,2.7146765e-18,9.259457e-25,0.17958431,0.40779883,1.1875e-41,0.0,0.07957124,0.098030515,7.3e-44,0.11865763,1.5974767e-07,0.25642204,0.0593732
0.0,2.4186779e-20,0.4879659,0.06605817,0.17086005,0.2929549,0.14628321,0.12927097,0.0,0.062470898,2.251953e-06,1.5544138e-06,0.22634797,0.0,0.0,0.35757127,9.103793e-39,2.2037982e-30,0.2163332,0.051793452,0.0,9.495127e-20,9.772605e-27,0.17457533,0.40106416,3e-45,0.0,0.07480129,0.097002275,0.0,0.11516458,5.1916434e-08,0.25428048,0.05719017
0.0,6.1965284e-22,0.48111957,0.065000854,0.17152977,0.28883642,0.1409671,0.1277844,0.0,0.0629255,7.2369517e-07,6.029274e-07,0.21938296,0.0,0.0,0.35159746,5.101e-42,7.51491e-33,0.20934623,0.048636585,0.0,2.5376304e-21,7.055019e-29,0.17219938,0.38869447,0.0,0.0,0.07513915,0.0977272,0.0,0.11075052,1.5505597e-08,0.25395325,0.054539405
0.0,1.17975805e-23,0.47807577,0.06573377,0.16668488,0.2850077,0.1391025,0.12453408,0.0,0.06237437,2.1346015e-07,2.1783832e-07,0.2102648,0.0,0.0,0.35114655,1e-45,1.5641186e-35,0.20433378,0.0429037,0.0,5.059276e-23,3.356971e-31,0.16736539,0.3820058,0.0,0.0,0.0757476,0.09173143,0.0,0.10752813,4.2271546e-09,0.24572234,0.05363638
0.0,1.6246531e-25,0.4739592,0.06420855,0.16576383,0.28612763,0.12929213,0.12729323,0.0,0.062479008,5.7408503e-08,7.2914176e-08,0.2056655,0.0,0.0,0.34619603,0.0,1.8841369e-38,0.19889165,0.040225048,0.0,7.3268686e-25,1.009529e-33,0.16589756,0.37346053,0.0,0.0,0.07736298,0.09211761,0.0,0.10552083,1.0446524e-09,0.24201483,0.053835448
0.0,1.5701507e-27,0.46918198,0.06224791,0.1695147,0.2784587,0.12757334,0.12143853,0.0,0.063163295,1.3979617e-08,2.2477451e-08,0.20119509,0.0,0.0,0.34307814,0.0,1.2348e-41,0.19238439,0.03670236,0.0,7.482091e-27,1.828884e-36,0.163223,0.3692517,0.0,0.0,0.07453082,0.09371831,0.0,0.10235933,2.32194e-10,0.24000633,0.053312376
0.0,1.0295221e-29,0.46586087,0.06308301,0.1695034,0.27779746,0.12171219,0.12052766,0.0,0.062709704,3.0582985e-09,6.341204e-09,0.19546613,0.0,0.0,0.33919987,0.0,4e-45,0.18797664,0.03418218,0.0,5.21145e-29,1.888638e-39,0.1571946,0.36576548,0.0,0.0,0.07746655,0.09278728,0.0,0.10126309,4.603452e-11,0.23685206,0.05180348
0.0,4.4083034e-32,0.4608786,0.06124763,0.17204948,0.27372774,0.11650313,0.121385455,0.0,0.0627025,5.9605e-10,1.6258944e-09,0.1895557,0.0,0.0,0.3392524,0.0,0.0,0.18379009,0.032728326,0.0,2.3848067e-31,1.043e-42,0.15264995,0.35828003,0.0,0.0,0.07575506,0.0931847,0.0,0.09704963,8.067317e-12,0.2256393,0.052124713
