目标,中文名,方法,定数规则,选中数,占候选比,测试R2,全量R2,候选数,选中字段,候选池,初筛
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,XGBoost,固定阈值 τ=0.02（12 个目标共用）,34,0.7083333333333334,0.898433848371794,0.8949160072394289,48,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|total_pjm_reg_purchases|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_ss_mw_primary_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,未初筛
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,Pearson,固定阈值 τ=0.3（12 个目标共用）,28,0.5833333333333334,0.8693560053040892,0.8949160072394289,48,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|rmccp|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,未初筛
net_actual_interchange_mw,净实际交换功率,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,18,0.5454545454545454,0.9045634243585334,0.9019507440038256,33,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|system_energy_price_rt|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_actual_interchange_mw,净实际交换功率,STG,门控值 ≥ 0.5,17,0.5151515151515151,0.9058866115981248,0.9019507440038256,33,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_pct|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_actual_interchange_mw,净实际交换功率,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,33,1.0,0.9019507440038256,0.9019507440038256,33,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_pct|gen_fuel_wind_pct|rmccp|rmpcp|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_actual_interchange_mw,净实际交换功率,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,8,0.2424242424242424,0.7939690584895314,0.9019507440038256,33,gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|gross_sched_interchange_mw,排除关注字段,已初筛
net_actual_interchange_mw,净实际交换功率,XGBoost,固定阈值 τ=0.02（12 个目标共用）,16,0.4848484848484848,0.9051550887957468,0.9019507440038256,33,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_pct|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_actual_interchange_mw,净实际交换功率,Pearson,固定阈值 τ=0.3（12 个目标共用）,20,0.6060606060606061,0.8918090475474857,0.9019507440038256,33,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_wind_pct|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gross_sched_interchange_mw,排除关注字段,已初筛
gross_actual_interchange_mw,总实际交换功率,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,16,0.4210526315789473,0.8774152840743723,0.8665549333724907,38,solar_generation_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|total_pjm_reg_purchases|total_pjm_assigned_reg|da_as_as_req_mw_synchronized_reserve|da_as_ss_mw_primary_reserve|system_energy_price_da|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
gross_actual_interchange_mw,总实际交换功率,STG,门控值 ≥ 0.5,11,0.2894736842105263,0.8497700606561414,0.8665549333724907,38,solar_generation_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|da_as_as_req_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
gross_actual_interchange_mw,总实际交换功率,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,38,1.0,0.8665549333724907,0.8665549333724907,38,solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|rmccp|total_pjm_rt_load_mwh|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_ss_mw_primary_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
gross_actual_interchange_mw,总实际交换功率,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,14,0.3684210526315789,0.8599437059838863,0.8665549333724907,38,gen_fuel_coal_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|da_as_mcp_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
gross_actual_interchange_mw,总实际交换功率,XGBoost,固定阈值 τ=0.02（12 个目标共用）,20,0.5263157894736842,0.877247781108411,0.8665549333724907,38,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_other_renewables_pct|prelim_load_avg_hourly|total_pjm_reg_purchases|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
gross_actual_interchange_mw,总实际交换功率,Pearson,固定阈值 τ=0.3（12 个目标共用）,16,0.4210526315789473,0.8415345101724677,0.8665549333724907,38,solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_coal_pct|gen_fuel_nuclear_pct|gen_fuel_solar_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|total_pjm_reg_purchases|total_pjm_assigned_reg|system_energy_price_da|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
net_sched_interchange_mw,净计划交换功率,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,19,0.59375,0.908416240491074,0.9056653999910154,32,gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_sched_interchange_mw,净计划交换功率,STG,门控值 ≥ 0.5,15,0.46875,0.898934628230426,0.9056653999910154,32,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_wind_pct|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_sched_interchange_mw,净计划交换功率,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,32,1.0,0.9056653999910154,0.9056653999910154,32,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_wind_pct|rmccp|rmpcp|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_sched_interchange_mw,净计划交换功率,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,8,0.25,0.7836503408112172,0.9056653999910154,32,gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|gross_sched_interchange_mw,排除关注字段,已初筛
net_sched_interchange_mw,净计划交换功率,XGBoost,固定阈值 τ=0.02（12 个目标共用）,14,0.4375,0.9046865015167708,0.9056653999910154,32,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|total_pjm_assigned_reg|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
net_sched_interchange_mw,净计划交换功率,Pearson,固定阈值 τ=0.3（12 个目标共用）,21,0.65625,0.8911202290390223,0.9056653999910154,32,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_wind_pct|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gross_sched_interchange_mw,排除关注字段,已初筛
total_gen,总发电量,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,10,0.4166666666666667,0.9890919078315746,0.9897076587230876,24,gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|system_energy_price_da,排除关注字段,已初筛
total_gen,总发电量,STG,门控值 ≥ 0.5,10,0.4166666666666667,0.9768034212002144,0.9897076587230876,24,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da,排除关注字段,已初筛
total_gen,总发电量,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,24,1.0,0.9897076587230876,0.9897076587230876,24,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|system_energy_price_rt|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
total_gen,总发电量,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,15,0.625,0.9881462491682717,0.9897076587230876,24,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|system_energy_price_da|system_energy_price_rt|gross_inadv_interchange_mw,排除关注字段,已初筛
total_gen,总发电量,XGBoost,固定阈值 τ=0.02（12 个目标共用）,14,0.5833333333333334,0.977144358366903,0.9897076587230876,24,gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|system_energy_price_rt,排除关注字段,已初筛
total_gen,总发电量,Pearson,固定阈值 τ=0.3（12 个目标共用）,21,0.875,0.9854194722889944,0.9897076587230876,24,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_wind_pct|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
metered_load_mw,计量负荷,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,6,0.2142857142857142,0.9919490732975028,0.9955002817982678,28,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_nuclear_pct|system_energy_price_da|gross_inadv_interchange_mw,排除关注字段,已初筛
metered_load_mw,计量负荷,STG,门控值 ≥ 0.5,7,0.25,0.9919326131368648,0.9955002817982678,28,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_nuclear_pct|system_energy_price_da,排除关注字段,已初筛
metered_load_mw,计量负荷,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,28,1.0,0.9955002817982678,0.9955002817982678,28,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|system_energy_price_rt|marginal_loss_price_rt|gross_inadv_interchange_mw,排除关注字段,已初筛
metered_load_mw,计量负荷,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,16,0.5714285714285714,0.9940412816975812,0.9955002817982678,28,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_wind_pct|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt,排除关注字段,已初筛
metered_load_mw,计量负荷,XGBoost,固定阈值 τ=0.02（12 个目标共用）,3,0.1071428571428571,0.986671819050138,0.9955002817982678,28,gen_fuel_nuclear_mw|gen_fuel_nuclear_pct|system_energy_price_da,排除关注字段,已初筛
metered_load_mw,计量负荷,Pearson,固定阈值 τ=0.3（12 个目标共用）,20,0.7142857142857143,0.994921076520258,0.9955002817982678,28,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_wind_pct|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|marginal_loss_price_rt|gross_inadv_interchange_mw,排除关注字段,已初筛
total_losses,总网损,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,19,0.5135135135135135,0.9346378962815496,0.937730714859062,37,gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_solar_pct|prelim_load_avg_hourly|total_pjm_reg_purchases|da_as_as_req_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
total_losses,总网损,STG,门控值 ≥ 0.5,14,0.3783783783783784,0.9293135180845812,0.937730714859062,37,wind_generation_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
total_losses,总网损,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,37,1.0,0.937730714859062,0.937730714859062,37,wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|rmccp|total_pjm_rt_load_mwh|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
total_losses,总网损,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,33,0.8918918918918919,0.9331410420921892,0.937730714859062,37,solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|rmccp|total_pjm_rt_load_mwh|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|da_as_as_req_mw_primary_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
total_losses,总网损,XGBoost,固定阈值 τ=0.02（12 个目标共用）,19,0.5135135135135135,0.9348946442144752,0.937730714859062,37,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_solar_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw,排除关注字段,已初筛
total_losses,总网损,Pearson,固定阈值 τ=0.3（12 个目标共用）,25,0.6756756756756757,0.9405435008655344,0.937730714859062,37,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_primary_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw,排除关注字段,已初筛
