wind_generation_mw,solar_generation_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
3.7376547e-26,6.0054056e-23,2.7832723e-18,1.8180071e-23,1.222587e-25,3.3158818e-24,0.07011396,2.7150808e-22,3.7161485e-19,2.5108273e-24,2.9630695e-23,0.16171204,3.219113e-21,3.376886e-25,3.721013e-23,3.4636124e-26,1.9614076e-25,7.9090356e-25,1.5203502e-20,8.170445e-24,1.9584593e-22,7.415711e-21,6.1261557e-25,6.220786e-26,2.7656735e-21,5.822753e-24,0.027822101,2.6128171e-23,6.5425496e-14,7.2366353e-22,5.5797194e-21,8.20738e-24,0.014684863,3.1689763e-16
1.6177872e-28,5.392973e-25,7.0181e-20,1.3857896e-25,5.9771452e-28,1.897932e-26,0.069130614,2.8198606e-24,7.5366025e-21,1.6762709e-26,2.434988e-25,0.15551355,4.3289714e-23,1.8430658e-27,3.1979622e-25,1.4622494e-28,1.0021351e-27,4.2325126e-27,2.358665e-22,6.076249e-26,2.0020288e-24,1.076126e-22,3.4798892e-27,2.8104997e-28,3.467116e-23,4.193404e-26,0.026607221,2.1798317e-25,3.5243364e-15,8.3083864e-24,7.822183e-23,6.070831e-26,0.014736187,1.2395004e-17
4.3583113e-31,3.246636e-27,1.3087107e-21,6.9669033e-28,1.8420265e-30,6.959987e-29,0.068478,1.9915824e-26,1.1078658e-22,7.2831514e-29,1.32969545e-27,0.14852661,4.0589645e-25,6.4134505e-30,1.8345041e-27,3.8322562e-31,3.2423328e-30,1.4411877e-29,2.5863623e-24,2.9729988e-28,1.389562e-26,1.0967707e-24,1.2654696e-29,7.938617e-31,3.0101598e-25,1.980496e-28,0.026424693,1.210283e-27,1.5024799e-16,6.5502825e-26,7.67635e-25,2.9527376e-28,0.0138539,3.730289e-19
6.9530004e-34,1.2596811e-29,1.7560907e-23,2.2160589e-30,3.411008e-33,1.5624019e-31,0.0663781,9.2131463e-29,1.1458914e-24,1.9720003e-31,4.633418e-30,0.14210553,2.5639955e-27,1.3585526e-32,6.74914e-30,5.929777e-34,6.336384e-33,2.980384e-32,1.9401157e-26,9.177677e-31,6.3061386e-29,7.592563e-27,2.8145384e-32,1.334749e-33,1.7473828e-27,5.879861e-31,0.02519935,4.2952263e-30,4.9684264e-18,3.4199737e-28,5.0979447e-27,9.055504e-31,0.013353358,8.4413345e-21
6.201328e-37,3.0120318e-32,1.6445812e-25,4.253245e-33,3.5913917e-36,2.0374903e-34,0.06512509,2.675346e-31,8.066792e-27,3.1662083e-34,9.837351e-33,0.1387343,1.04967305e-29,1.6610582e-35,1.5216251e-32,5.1116982e-37,7.083426e-36,3.5480208e-35,9.596322e-29,1.7040144e-33,1.7928585e-31,3.4380067e-29,3.632762e-35,1.2621421e-36,6.5176734e-30,1.0455335e-33,0.025101235,9.3058554e-33,1.246435e-19,1.1349542e-30,2.205298e-29,1.6691526e-33,0.014036357,1.4001058e-22
2.89068e-40,4.2160798e-35,1.038656e-27,4.6636268e-36,2.015865e-39,1.4525209e-37,0.064902864,4.645008e-34,3.7228852e-29,2.846313e-37,1.2067226e-35,0.13342278,2.6649485e-32,1.1019335e-38,1.9952884e-35,2.29355e-40,4.251486e-39,2.2845751e-38,3.002055e-31,1.8007883e-36,3.0406882e-34,9.7564256e-32,2.5601667e-38,6.2816e-40,1.4929337e-32,1.0530443e-36,0.025365017,1.1674929e-35,2.3146151e-21,2.284501e-33,5.950308e-32,1.7497406e-36,0.013392722,1.6543815e-24
6.4e-44,3.2549137e-38,4.2557797e-30,2.741227e-39,5.59e-43,5.2703e-41,0.06259949,4.558748e-37,1.0794813e-31,1.33957e-40,8.04026e-39,0.12824176,3.9892418e-35,3.688e-42,1.4322128e-38,4.9e-44,1.271e-42,7.393e-42,5.6637044e-34,1.015731e-39,2.9073692e-37,1.6523033e-34,9.17e-42,1.53e-43,1.9936955e-35,5.62864e-40,0.025068443,7.976723e-39,3.0957552e-23,2.6427556e-36,9.5291605e-35,9.78046e-40,0.013315959,1.3490087e-26
0.0,1.2924e-41,1.0826014e-32,8.02e-43,0.0,8e-45,0.0621418,2.36859e-40,1.8732549e-34,3.1e-44,2.706e-42,0.12503849,3.3210558e-38,0.0,5.241e-42,0.0,0.0,1e-45,6.1001213e-37,2.83e-43,1.4671e-40,1.5782252e-37,1e-45,0.0,1.4613725e-38,1.47e-43,0.024483085,2.76e-42,2.8924505e-25,1.650232e-39,8.552603e-38,2.7e-43,0.01324376,7.324122e-29
0.0,3e-45,1.6257227e-35,0.0,0.0,0.0,0.06183197,6e-44,1.8393807e-37,0.0,0.0,0.12061553,1.4359e-41,0.0,1e-45,0.0,0.0,0.0,3.51874e-40,0.0,3.6e-44,7.9592e-41,0.0,0.0,5.478e-42,0.0,0.022886056,0.0,1.8242645e-27,5.17e-43,4.0228e-41,0.0,0.012086656,2.542585e-31
0.0,0.0,1.3595096e-38,0.0,0.0,0.0,0.060672447,0.0,9.5721e-41,0.0,0.0,0.117881365,3e-45,0.0,0.0,0.0,0.0,0.0,1.01e-43,0.0,0.0,2e-44,0.0,0.0,1e-45,0.0,0.023399642,0.0,7.471927e-30,0.0,1e-44,0.0,0.011812893,5.3894703e-34
