epoch,feature_index,feature,omega_group_l2
8,50,da_as_ss_mw_primary_reserve,0.5853822
8,51,gen_fuel_solar_mw,0.8783876
8,52,gen_fuel_coal_pct,0.682002
8,53,congestion_price_rt,0.66505784
8,54,da_as_mcp_synchronized_reserve,0.57766116
8,55,congestion_price_da,0.43560633
9,1,da_as_as_mw_thirty_minutes_reserve,0.6945132
9,2,da_as_total_mw_thirty_minutes_reserve,0.5409833
9,3,gross_sched_interchange_mw,0.87202716
9,4,gen_fuel_nuclear_mw,0.76028097
9,5,gen_fuel_gas_mw,1.2245148
9,6,da_as_as_req_mw_thirty_minutes_reserve,0.70126003
9,7,da_as_as_req_mw_primary_reserve,0.4946569
9,8,da_as_as_req_mw_synchronized_reserve,0.65122163
9,9,total_pjm_assigned_reg,0.74705416
9,10,da_as_as_mw_primary_reserve,0.6316853
9,11,da_as_total_mw_primary_reserve,0.6408989
9,12,da_as_as_mw_synchronized_reserve,0.66128606
9,13,total_pjm_reg_purchases,0.5539217
9,14,gen_fuel_other_renewables_mw,0.7352458
9,15,total_lmp_da,0.5833684
9,16,total_pjm_rmpcp_cr,0.5237952
9,17,forecast_load_mw_day_ahead,0.5917688
9,18,total_pjm_rmccp_cr,0.59869033
9,19,gen_fuel_wind_mw,0.6688828
9,20,da_as_total_mw_synchronized_reserve,0.62808543
9,21,system_energy_price_da,0.624065
9,22,gen_fuel_multiple_fuels_pct,0.58678675
9,23,gen_fuel_multiple_fuels_mw,0.44468877
9,24,marginal_loss_price_rt,0.48690996
9,25,gen_fuel_gas_pct,0.42326334
9,26,marginal_loss_price_da,0.51657987
9,27,total_lmp_rt,0.44443277
9,28,rmccp,0.5429942
9,29,system_energy_price_rt,0.5003781
9,30,rmpcp,0.4041117
9,31,gen_fuel_wind_pct,0.70167613
9,32,gen_fuel_coal_mw,0.87607014
9,33,wind_generation_mw,0.6238456
9,34,gross_inadv_interchange_mw,0.74698335
9,35,gen_fuel_oil_mw,0.5788103
9,36,da_as_mcp_primary_reserve,0.47642478
9,37,total_pjm_rt_load_mwh,0.8649756
9,38,metered_load_mw,0.7904693
9,39,forecast_load_mw_latest_available,0.58898425
9,40,prelim_load_avg_hourly,0.9535653
9,41,gross_actual_interchange_mw,0.64454955
9,42,gen_fuel_hydro_mw,0.6616581
9,43,total_pjm_loc_credit,0.5018929
9,44,total_losses,0.8324518
9,45,net_inadv_interchange_mw,0.49346176
9,46,da_as_nsr_mw_primary_reserve,0.48026863
9,47,total_pjm_self_sched_reg,0.55970615
9,48,da_as_ss_mw_synchronized_reserve,0.47945824
9,49,da_as_ss_mw_thirty_minutes_reserve,0.51141727
9,50,da_as_ss_mw_primary_reserve,0.5358877
9,51,gen_fuel_solar_mw,0.8489663
9,52,gen_fuel_coal_pct,0.6286854
9,53,congestion_price_rt,0.61715984
9,54,da_as_mcp_synchronized_reserve,0.5410631
9,55,congestion_price_da,0.39333677
10,1,da_as_as_mw_thirty_minutes_reserve,0.6508786
10,2,da_as_total_mw_thirty_minutes_reserve,0.49976715
10,3,gross_sched_interchange_mw,0.82507473
10,4,gen_fuel_nuclear_mw,0.7343186
10,5,gen_fuel_gas_mw,1.1814166
10,6,da_as_as_req_mw_thirty_minutes_reserve,0.66365653
10,7,da_as_as_req_mw_primary_reserve,0.4619611
10,8,da_as_as_req_mw_synchronized_reserve,0.60852176
10,9,total_pjm_assigned_reg,0.70136
10,10,da_as_as_mw_primary_reserve,0.5981355
10,11,da_as_total_mw_primary_reserve,0.5903086
10,12,da_as_as_mw_synchronized_reserve,0.62053686
10,13,total_pjm_reg_purchases,0.5140113
10,14,gen_fuel_other_renewables_mw,0.7075907
10,15,total_lmp_da,0.54886776
10,16,total_pjm_rmpcp_cr,0.47222587
10,17,forecast_load_mw_day_ahead,0.5468486
10,18,total_pjm_rmccp_cr,0.5627828
10,19,gen_fuel_wind_mw,0.61992747
10,20,da_as_total_mw_synchronized_reserve,0.5839873
10,21,system_energy_price_da,0.5890576
10,22,gen_fuel_multiple_fuels_pct,0.5530384
10,23,gen_fuel_multiple_fuels_mw,0.4054554
10,24,marginal_loss_price_rt,0.45110437
10,25,gen_fuel_gas_pct,0.37972188
10,26,marginal_loss_price_da,0.48037085
10,27,total_lmp_rt,0.40383542
10,28,rmccp,0.4975614
10,29,system_energy_price_rt,0.46305507
10,30,rmpcp,0.35493416
10,31,gen_fuel_wind_pct,0.6642778
10,32,gen_fuel_coal_mw,0.8445335
10,33,wind_generation_mw,0.58445066
10,34,gross_inadv_interchange_mw,0.70495164
