W_1,W_2,W_3,W_4,W_5,W_6,epoch
-0.48696083,0.048520096,-0.42196438,-0.015722964,0.060562525,1.0457323,174
-0.48613766,0.05268369,-0.41910335,-0.010648861,0.05904005,1.0494854,175
-0.48438913,0.053185154,-0.42214784,-0.011501737,0.062311262,1.0450138,176
-0.47853637,0.056285378,-0.42325312,-0.008804706,0.061382122,1.0393562,177
-0.48182297,0.05790116,-0.423022,-0.007827316,0.05843501,1.0384569,178
-0.4797571,0.060941625,-0.42320573,-0.003908931,0.060014285,1.0367116,179
-0.47528553,0.058322508,-0.42756167,-0.008006193,0.06366495,1.0361893,180
-0.47921416,0.059876118,-0.4282002,-0.0047766054,0.06156124,1.0384555,181
-0.4779975,0.063363016,-0.42718327,-0.0029280263,0.062403888,1.0364892,182
-0.47856006,0.06370337,-0.42818964,-0.0056286827,0.06155642,1.038085,183
-0.47250324,0.07059817,-0.42281172,0.0023773066,0.06472596,1.0355499,184
-0.46650878,0.062283162,-0.43196917,-0.0060304436,0.06645926,1.0346248,185
-0.4692006,0.06995656,-0.42775548,0.001418197,0.06369722,1.040671,186
-0.47151244,0.06748312,-0.43003184,-0.00044205194,0.06632714,1.0328006,187
-0.46834585,0.06565033,-0.43324715,-0.0006623665,0.06672752,1.0409341,188
-0.4655254,0.070557594,-0.43372047,0.0021438873,0.06717609,1.0391968,189
-0.45499325,0.075272396,-0.4325607,0.0065378873,0.06883239,1.0377803,190
-0.4655412,0.07392993,-0.43596402,0.0037245804,0.0625841,1.0348929,191
-0.46084538,0.07529133,-0.43750188,0.0046657417,0.065180205,1.0360011,192
-0.46043688,0.07609377,-0.43823376,0.0059192725,0.064925805,1.0320197,193
-0.463033,0.07756018,-0.4375533,0.006254145,0.06339809,1.0409178,194
-0.45603633,0.08158983,-0.4365119,0.0105923945,0.06999206,1.0383648,195
-0.4655371,0.08005502,-0.4391735,0.0075862585,0.06927094,1.0380791,196
-0.4642548,0.085920945,-0.43495575,0.015170364,0.06933909,1.0404397,197
-0.45798138,0.08252493,-0.44313952,0.0099464785,0.06653835,1.0392712,198
-0.45537898,0.08872257,-0.43773818,0.016378677,0.073793545,1.0371449,199
-0.45441443,0.085133485,-0.4442808,0.01229126,0.076313905,1.0358609,200
