wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.7185787,0.57956094,0.4915809,0.0,0.100923635,0.17732413,1.0,0.5603102,1.0,0.7197046,0.0,0.5876993,0.38514012,0.0,0.0,0.9255982,0.0,0.64669544,0.0,0.43968344,0.5025475,0.5660565,0.32332942,0.112955764,0.0,0.46676844,0.40135068,0.0,0.0,0.0,0.38291052,0.34018433,0.6358455,0.376683,0.795435,0.7771758,0.44001618,0.0,0.60467064,0.4793354,0.6842755,0.0,1.0,0.4039816,0.50687313,0.5081495,0.0,0.8080186,1.0
0.7310891,0.58396333,0.5001926,0.0,0.08847811,0.16929895,1.0,0.5614694,1.0,0.73755527,0.0,0.5951839,0.3898004,0.0,0.0,0.96439224,0.0,0.6551558,0.0,0.43743107,0.50202775,0.5660721,0.30673516,0.09943513,0.0,0.45815766,0.41421723,0.0,0.0,0.0,0.37584698,0.3477917,0.63451505,0.36762714,0.8161262,0.7938959,0.44398773,0.0,0.6086247,0.4851181,0.69044137,0.0,1.0,0.4059664,0.50743365,0.50424224,0.0,0.8189004,1.0
0.75448614,0.59284467,0.50028664,0.0,0.07578153,0.1665269,1.0,0.56032026,1.0,0.742808,0.0,0.59883356,0.4064014,0.0,0.0,0.9933455,0.0,0.6632978,0.0,0.447153,0.5129704,0.57381374,0.29510567,0.09695976,0.0,0.47625637,0.42175564,0.0,0.0,0.0,0.3584046,0.34053358,0.63132435,0.37176475,0.828316,0.8045708,0.4435986,0.0,0.61733687,0.49292457,0.70590204,0.0,1.0,0.4088897,0.5077182,0.5128023,0.0,0.83764595,1.0
0.7645199,0.5959453,0.49892214,0.0,0.07916375,0.13984501,1.0,0.55194217,1.0,0.7536155,0.0,0.5927837,0.40136373,0.0,0.0,0.99356246,0.0,0.6588791,0.0,0.4530319,0.506446,0.56733197,0.28676942,0.07848914,0.0,0.4772523,0.426852,0.0,0.0,0.0,0.35038915,0.34566683,0.62798935,0.37284416,0.83653766,0.80844194,0.44687548,0.0,0.61229926,0.49524397,0.73325944,0.0,1.0,0.4022364,0.50606614,0.5085824,0.0,0.85230166,1.0
0.7721067,0.61705893,0.5013512,0.0,0.09185742,0.12982792,1.0,0.5459684,1.0,0.7754947,0.0,0.5976509,0.40642017,0.0,0.0,1.0,0.0,0.6531573,0.0,0.43699026,0.5015455,0.57481104,0.2822709,0.0782449,0.0,0.48555472,0.42626145,0.0,0.0,0.0,0.35562673,0.35972568,0.6615763,0.37801072,0.83761305,0.81539446,0.44589895,0.0,0.6449561,0.5106349,0.74804133,0.0,1.0,0.39561805,0.5098268,0.513096,0.0,0.8614471,1.0
0.7952046,0.63588,0.4960879,0.0,0.09248071,0.11818152,1.0,0.5545351,1.0,0.78898585,0.0,0.6049417,0.40979648,0.0,0.0,1.0,0.0,0.64960146,0.0,0.42806268,0.5021418,0.58084196,0.26788616,0.06803018,0.0,0.49176043,0.41938207,0.0,0.0,0.0,0.36235845,0.367432,0.6847125,0.40501174,0.8425293,0.8241308,0.44311976,0.0,0.65606695,0.5297471,0.7761359,0.0,1.0,0.3914822,0.5012443,0.49896112,0.0,0.8816614,1.0
0.80838966,0.653147,0.49568376,0.0,0.09609939,0.099181816,1.0,0.54290664,1.0,0.8055126,0.0,0.61388874,0.41238824,0.0,0.0,1.0,0.0,0.65885234,0.0,0.42658287,0.49777964,0.5803114,0.2723816,0.057154924,0.0,0.4950091,0.4207886,0.0,0.0,0.0,0.36388946,0.35751003,0.6872822,0.4024207,0.85242766,0.84301454,0.43883485,0.0,0.6700348,0.5480281,0.78644305,0.0,1.0,0.38678032,0.5173133,0.5030134,0.0,0.8918943,1.0
0.82079005,0.6627493,0.49408507,0.0,0.07991496,0.10792155,1.0,0.5472943,1.0,0.82490355,0.0,0.6215661,0.40999535,0.0,0.0,1.0,0.0,0.6625843,0.0,0.4333743,0.49975863,0.58561087,0.26885152,0.0415038,0.0,0.49970853,0.4355155,0.0,0.0,0.0,0.35529572,0.37178206,0.6925741,0.4102401,0.875684,0.8541625,0.43991086,0.0,0.6910794,0.56354624,0.8202684,0.0,1.0,0.3790107,0.52510023,0.50800264,0.0,0.915287,1.0
0.82442915,0.67977256,0.49804443,0.0,0.08810225,0.091344126,1.0,0.5391596,1.0,0.8421912,0.0,0.63000745,0.3985568,0.0,0.0,1.0,0.0,0.6606995,0.0,0.44297522,0.49564162,0.5877822,0.25704557,0.032123715,0.0,0.49793822,0.4306143,0.0,0.0,0.0,0.34512538,0.36966518,0.6999338,0.42266244,0.88602704,0.8565319,0.43146437,0.0,0.6925526,0.5758117,0.825689,0.0,1.0,0.3756508,0.52831304,0.5048089,0.0,0.9327139,1.0
0.831412,0.6886943,0.50234956,0.0,0.08900117,0.08525376,1.0,0.5469184,1.0,0.85676646,0.0,0.6329989,0.3862961,0.0,0.0,1.0,0.0,0.65558517,0.0,0.4335216,0.4843195,0.6048457,0.26475176,0.029824505,0.0,0.5056084,0.43662173,0.0,0.0,0.0,0.33784115,0.3706861,0.7025827,0.42681518,0.8988708,0.8672699,0.4476306,0.0,0.70360476,0.5862226,0.8449986,0.0,1.0,0.3807315,0.52312434,0.52205634,0.0,0.944228,1.0
