gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.40680522,0.29045883,0.085784756,0.259167,1.0,0.6042536,0.7137056,0.0,0.73460656,0.8764708,0.0,0.42387727,0.31783167,0.5516978,0.0,0.92474884,0.42565298,0.49796045,0.3308284,0.5440394,0.43174276,0.0,0.28844714,0.3660187,0.2140411,0.50473773,0.44378096,0.53998697,0.7087739,0.6524884,0.0,0.66851985,0.5754222,0.0,1.0,0.29970053,0.33222872,0.42442402,0.9297409,1.0
0.42425144,0.28394186,0.07878747,0.28334826,1.0,0.60832345,0.7289966,0.0,0.738658,0.90333146,0.0,0.45522645,0.33510196,0.55570763,0.0,0.93492746,0.4293909,0.5001722,0.33127,0.56685364,0.43431348,0.0,0.29737172,0.3727719,0.22059783,0.5081086,0.4358765,0.54565984,0.71578467,0.6629628,0.0,0.683783,0.5997121,0.0,1.0,0.29384235,0.32652336,0.4316731,0.95591486,1.0
0.42434028,0.26920387,0.07805816,0.28901848,1.0,0.61282,0.7506571,0.0,0.74692833,0.92740196,0.0,0.49436927,0.3188565,0.5525486,0.0,0.9554295,0.42496067,0.49822345,0.32043386,0.5716359,0.4309499,0.0,0.3034876,0.36910364,0.21017055,0.5044598,0.4549034,0.5501972,0.736414,0.68924546,0.0,0.70982164,0.61904496,0.0,1.0,0.29055175,0.31736583,0.43452793,0.9770028,1.0
0.42730144,0.25241873,0.08241246,0.2880868,1.0,0.6258101,0.7588574,0.0,0.7529708,0.95559794,0.0,0.5160691,0.29937574,0.5677061,0.0,0.9777039,0.42470708,0.5032752,0.3057071,0.57657605,0.44977096,0.0,0.2970013,0.36932752,0.22031933,0.50162625,0.43758056,0.53749907,0.74315304,0.7026275,0.0,0.7316812,0.62620795,0.0,1.0,0.29638678,0.3189097,0.44362023,0.97204036,1.0
0.44523504,0.24792655,0.086841226,0.27799818,1.0,0.62617713,0.77593505,0.0,0.763945,0.97302526,0.0,0.5225503,0.28915998,0.5626053,0.0,0.97695816,0.42199507,0.507279,0.28807846,0.567028,0.45238456,0.0,0.29053614,0.35673258,0.21893227,0.5184418,0.44967875,0.5483577,0.7443416,0.7160263,0.0,0.75372607,0.6471992,0.0,1.0,0.28659505,0.31119052,0.4426563,0.9831824,1.0
0.4507895,0.2389391,0.077700414,0.26510707,1.0,0.6290187,0.7886332,0.0,0.759361,0.9799341,0.0,0.5344795,0.27254903,0.5635872,0.0,0.98760045,0.4248918,0.49591708,0.27657616,0.55580515,0.45467433,0.0,0.28844422,0.35780796,0.22171618,0.5196362,0.4757093,0.55596536,0.75621784,0.71877265,0.0,0.7910654,0.68040746,0.0,1.0,0.26240358,0.304726,0.4371809,1.0,1.0
0.44369546,0.23497586,0.086381055,0.25824216,1.0,0.6169408,0.8133633,0.0,0.75056076,1.0,0.0,0.5439949,0.26818416,0.5659682,0.0,1.0,0.4222768,0.4893364,0.26746067,0.54179347,0.45761016,0.0,0.29682958,0.3447857,0.2220896,0.5274702,0.48416284,0.5707774,0.76719254,0.746582,0.0,0.8257445,0.6944571,0.0,1.0,0.26440376,0.3102692,0.4350296,0.99864995,1.0
0.44157222,0.23266186,0.083328046,0.25980806,1.0,0.6218726,0.82295066,0.0,0.75747985,1.0,0.0,0.5716838,0.25581574,0.56694365,0.0,1.0,0.42688924,0.4933259,0.26273945,0.53858685,0.46198294,0.0,0.29685974,0.345668,0.2334074,0.5290026,0.499631,0.57405347,0.77983546,0.7699809,0.0,0.8598676,0.7085201,0.0,1.0,0.2578977,0.31444517,0.44307008,1.0,1.0
0.45314753,0.22390945,0.09226214,0.25130397,1.0,0.63718545,0.840776,0.0,0.771596,1.0,0.0,0.5904198,0.23606068,0.5701544,0.0,1.0,0.4234455,0.51094556,0.25573897,0.52912694,0.46835738,0.0,0.2815704,0.34029818,0.21857262,0.53075147,0.49867648,0.5758857,0.78830683,0.76634073,0.0,0.8727227,0.71562344,0.0,1.0,0.25655454,0.30494356,0.44576874,1.0,1.0
0.4610283,0.20540531,0.09829948,0.23779769,1.0,0.63642675,0.87303096,0.0,0.7916843,1.0,0.0,0.5987395,0.23284367,0.5720058,0.0,1.0,0.4212433,0.52170414,0.2607094,0.52659243,0.48480657,0.0,0.28337488,0.33043802,0.21637444,0.5523189,0.5082662,0.58374697,0.81130195,0.78504497,0.0,0.89170766,0.7378971,0.0,1.0,0.23531984,0.2863553,0.4367147,1.0,1.0
