area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
0.024204144,1.3731488e-07,3.3187916e-14,4.078666e-22,0.25840044,1.7765687e-09,2.964829e-09,1.9611604e-18,9.3648426e-20,2.9615908e-08,1.5233261e-19,1.8158127e-21,0.042956963,0.00014786985,3.0683822e-18,0.010343428,7.238129e-21,0.0048170635,1.1348665e-16,2.2841797e-09,4.5096644e-14,0.2243895,0.26719084,5.8636992e-08,0.005135275,0.08969608,0.11579523,0.21256937,0.17673767,0.15902959,0.082178794,3.5849437e-06,6.2192417e-13,1.089023e-08,7.891022e-21,2.0824877e-16,4.142492e-08,4.420837e-12,5.275818e-18,1.8762834e-19,9.274312e-24
0.020285673,3.699411e-08,2.1119797e-15,4.524562e-24,0.25229332,3.0523203e-10,5.4196136e-10,5.005834e-20,1.7924685e-21,6.05597e-09,2.9662561e-21,1.9789705e-23,0.03745262,7.6556425e-05,8.084825e-20,0.008049029,1.0600617e-22,0.0035210173,4.2108556e-18,3.6502928e-10,2.8344873e-15,0.22287358,0.26266596,1.422972e-08,0.0036355588,0.081975825,0.1156431,0.20338242,0.17207609,0.15728013,0.07978695,1.2069976e-06,5.273288e-14,2.0121738e-09,1.1673618e-22,7.811994e-18,7.3107262e-09,4.044839e-13,1.4379359e-19,3.715599e-21,6.9911004e-26
0.016637271,9.014675e-09,1.0791242e-16,3.4351802e-26,0.24894834,4.5752603e-11,8.6867694e-11,9.45987e-22,2.4733662e-23,1.0956491e-09,4.1706846e-23,1.4735808e-25,0.03259065,3.7689093e-05,1.5817515e-21,0.0061204224,1.0913356e-24,0.0024638763,1.1965307e-19,5.059396e-11,1.4289347e-16,0.22092743,0.2606051,3.0976028e-09,0.0022865764,0.07389452,0.1116423,0.19546156,0.16692773,0.15431021,0.07746871,3.740178e-07,3.6791016e-15,3.2628092e-10,1.2151129e-24,2.2464276e-19,1.1280091e-09,3.0648312e-14,2.9190138e-21,5.321389e-23,3.4718937e-28
0.013517714,1.9714854e-09,4.3454383e-18,1.7207148e-28,0.24523036,5.918638e-12,1.2082071e-11,1.2879921e-23,2.387005e-25,1.7370648e-10,4.1087736e-25,7.225228e-28,0.028130228,1.759057e-05,2.2368083e-23,0.004589354,7.638924e-27,0.0016512533,2.5432706e-21,6.0131735e-12,5.670485e-18,0.21955739,0.25197425,5.9975575e-10,0.0013585006,0.06702141,0.11030248,0.18857402,0.16302517,0.14982705,0.075695805,1.0599765e-07,2.0781012e-16,4.5953942e-11,8.608782e-27,4.837349e-21,1.5055719e-10,1.8933603e-15,4.2977852e-23,5.3491983e-25,1.0895201e-30
0.010910686,3.8370324e-10,1.3509958e-19,5.455146e-31,0.24071676,6.529876e-13,1.4417379e-12,1.225606e-25,1.5573267e-27,2.3881315e-11,2.7419135e-27,2.2372202e-30,0.024286821,7.756481e-06,2.218699e-25,0.003352442,3.5013497e-29,0.0010776256,3.9394417e-23,6.0527104e-13,1.7350994e-19,0.2182326,0.24959865,1.0233954e-10,0.0007426151,0.06131611,0.10799851,0.18135126,0.1601216,0.14925556,0.07297024,2.7287953e-08,9.334882e-18,5.5585462e-12,3.9987373e-29,7.600056e-23,1.7182285e-11,9.374211e-17,4.4554987e-25,3.6495883e-27,2.0600257e-33
0.008536858,6.585214e-11,3.1700782e-21,1.0438519e-33,0.23580752,6.0652655e-14,1.4578477e-13,7.877268e-28,6.610073e-30,2.8147313e-12,1.19311984e-29,4.1706304e-33,0.020387225,3.2139585e-06,1.4925056e-27,0.0023832384,1.0070539e-31,0.0006844051,4.3192146e-25,5.0903116e-14,4.001298e-21,0.21581037,0.24608913,1.5236389e-11,0.00037101412,0.05563565,0.10753255,0.1730118,0.15476415,0.1466898,0.071900226,6.3341328e-09,3.2699197e-19,5.7038304e-13,1.1671284e-31,8.463246e-25,1.6555376e-12,3.650214e-18,3.1460568e-27,1.6272578e-29,2.2214913e-36
0.0066347537,9.8669415e-12,5.474471e-23,1.14148975e-36,0.233823,4.6764697e-15,1.2323688e-14,3.290487e-30,1.7474579e-32,2.8088933e-13,3.242034e-32,4.4301985e-36,0.017220639,1.2464703e-06,6.5552215e-30,0.0016528151,1.7310729e-34,0.00042078077,3.2444474e-27,3.5240209e-15,6.780232e-23,0.21250302,0.24395591,1.9577454e-12,0.00017182468,0.049595002,0.103504695,0.16764025,0.15033256,0.14200038,0.0693282,1.3150384e-09,8.740456e-21,4.898978e-14,2.039136e-34,6.466621e-27,1.3281654e-13,1.094834e-19,1.4574719e-29,4.5422383e-32,1.281685e-39
0.005054167,1.2767908e-12,6.7654304e-25,6.69355e-40,0.2286921,2.947056e-16,8.5810547e-16,8.550686e-33,2.737257e-35,2.3411835e-14,5.2354e-35,2.514822e-39,0.014226666,4.50187e-07,1.8004634e-32,0.0011104218,1.6810779e-37,0.00024977274,1.6095458e-29,1.9758997e-16,8.207282e-25,0.21015348,0.23897243,2.1453801e-13,7.393201e-05,0.045901187,0.101272255,0.15984946,0.1478398,0.14081456,0.0691283,2.4205768e-10,1.7404846e-22,3.470536e-15,2.016429e-37,3.2687374e-29,8.738227e-15,2.4719236e-21,4.2458345e-32,7.5569995e-35,3.67e-43
0.0037693616,1.4100736e-13,5.7985325e-27,1.95e-43,0.22618736,1.492405e-17,4.8424592e-17,1.3147303e-35,2.3981612e-38,1.6057052e-15,4.7450354e-38,7.08e-43,0.011654069,1.5056983e-07,2.943629e-35,0.00072549336,8.6365e-41,0.00014279738,5.058633e-32,8.813746e-18,6.876391e-27,0.20785463,0.23795414,1.9792207e-14,2.965318e-05,0.04153471,0.099445865,0.15330406,0.1427455,0.13742799,0.067584656,3.912853e-11,2.5139656e-24,1.9954875e-16,1.05715e-40,1.0487828e-31,4.636825e-16,4.095384e-23,7.4094336e-35,7.080337e-38,0.0
0.0027607507,1.3120159e-14,3.3275194e-29,0.0,0.22208737,5.960807e-19,2.1755816e-18,1.1287542e-38,1.0985e-41,8.915144e-17,2.2575e-41,0.0,0.009443547,4.6366342e-08,2.7060595e-38,0.00045800357,2.1e-44,7.836102e-05,9.605513e-35,3.0667613e-19,3.8488428e-29,0.20480579,0.23276919,1.5155521e-15,1.1087741e-05,0.03806844,0.09847698,0.14687853,0.14091437,0.13619491,0.06530768,5.497477e-12,2.5566774e-26,9.149227e-18,2.7e-44,2.0375468e-34,1.9484789e-17,4.8393274e-25,7.324188e-38,3.4961e-41,0.0
0.0019674825,1.0141109e-15,1.2286321e-31,0.0,0.21959096,1.8395447e-20,7.630421e-20,5.056e-42,3e-45,3.9357895e-18,6e-45,0.0,0.007506941,1.306138e-08,1.3087e-41,0.00027925737,0.0,4.1139e-05,1.0433513e-37,8.144979e-21,1.3826092e-31,0.20228432,0.23170127,9.484049e-17,3.844555e-06,0.03494396,0.096037954,0.140961,0.13679253,0.132289,0.06442691,6.6378587e-13,1.7706722e-28,3.2806125e-19,0.0,2.2701782e-37,6.3546946e-19,3.950979e-27,3.8417e-41,8e-45,0.0
