epoch,feature_index,feature,gamma_index,gamma
2,47,total_pjm_self_sched_reg,1,0.9459448
2,47,total_pjm_self_sched_reg,2,0.9459448
2,48,da_as_ss_mw_synchronized_reserve,1,0.9714994
2,48,da_as_ss_mw_synchronized_reserve,2,0.9714994
2,49,da_as_ss_mw_thirty_minutes_reserve,1,0.9346368
2,49,da_as_ss_mw_thirty_minutes_reserve,2,0.9346368
2,50,da_as_ss_mw_primary_reserve,1,0.9608426
2,50,da_as_ss_mw_primary_reserve,2,0.9608426
2,51,gen_fuel_solar_mw,1,1.0100015
2,51,gen_fuel_solar_mw,2,1.0100015
2,52,gen_fuel_coal_pct,1,0.9778472
2,52,gen_fuel_coal_pct,2,0.9778472
2,53,congestion_price_rt,1,0.98320305
2,53,congestion_price_rt,2,0.98320305
2,54,da_as_mcp_synchronized_reserve,1,0.99706346
2,54,da_as_mcp_synchronized_reserve,2,0.99706346
2,55,congestion_price_da,1,0.9496253
2,55,congestion_price_da,2,0.9496253
3,1,da_as_as_mw_thirty_minutes_reserve,1,1.0157326
3,1,da_as_as_mw_thirty_minutes_reserve,2,1.0157326
3,2,da_as_total_mw_thirty_minutes_reserve,1,1.0036212
3,2,da_as_total_mw_thirty_minutes_reserve,2,1.0036212
3,3,gross_sched_interchange_mw,1,1.0704004
3,3,gross_sched_interchange_mw,2,1.0704004
3,4,gen_fuel_nuclear_mw,1,1.0178075
3,4,gen_fuel_nuclear_mw,2,1.0178075
3,5,gen_fuel_gas_mw,1,1.106087
3,5,gen_fuel_gas_mw,2,1.106087
3,6,da_as_as_req_mw_thirty_minutes_reserve,1,1.0151913
3,6,da_as_as_req_mw_thirty_minutes_reserve,2,1.0151913
3,7,da_as_as_req_mw_primary_reserve,1,1.0098766
3,7,da_as_as_req_mw_primary_reserve,2,1.0098766
3,8,da_as_as_req_mw_synchronized_reserve,1,1.0460978
3,8,da_as_as_req_mw_synchronized_reserve,2,1.0460978
3,9,total_pjm_assigned_reg,1,1.0577217
3,9,total_pjm_assigned_reg,2,1.0577217
3,10,da_as_as_mw_primary_reserve,1,1.0107191
3,10,da_as_as_mw_primary_reserve,2,1.0107191
3,11,da_as_total_mw_primary_reserve,1,0.97257334
3,11,da_as_total_mw_primary_reserve,2,0.97257334
3,12,da_as_as_mw_synchronized_reserve,1,0.96426827
3,12,da_as_as_mw_synchronized_reserve,2,0.96426827
3,13,total_pjm_reg_purchases,1,1.005126
3,13,total_pjm_reg_purchases,2,1.005126
3,14,gen_fuel_other_renewables_mw,1,0.9649652
3,14,gen_fuel_other_renewables_mw,2,0.9649652
3,15,total_lmp_da,1,1.0242975
3,15,total_lmp_da,2,1.0242975
3,16,total_pjm_rmpcp_cr,1,1.0104488
3,16,total_pjm_rmpcp_cr,2,1.0104488
3,17,forecast_load_mw_day_ahead,1,0.995388
3,17,forecast_load_mw_day_ahead,2,0.995388
3,18,total_pjm_rmccp_cr,1,0.93074286
3,18,total_pjm_rmccp_cr,2,0.93074286
3,19,gen_fuel_wind_mw,1,0.9766167
3,19,gen_fuel_wind_mw,2,0.9766167
3,20,da_as_total_mw_synchronized_reserve,1,1.0084817
3,20,da_as_total_mw_synchronized_reserve,2,1.0084817
3,21,system_energy_price_da,1,1.0756972
3,21,system_energy_price_da,2,1.0756972
3,22,gen_fuel_multiple_fuels_pct,1,0.98898923
3,22,gen_fuel_multiple_fuels_pct,2,0.98898923
3,23,gen_fuel_multiple_fuels_mw,1,0.9466731
3,23,gen_fuel_multiple_fuels_mw,2,0.9466731
3,24,marginal_loss_price_rt,1,0.95533603
3,24,marginal_loss_price_rt,2,0.95533603
3,25,gen_fuel_gas_pct,1,0.89399177
3,25,gen_fuel_gas_pct,2,0.89399177
3,26,marginal_loss_price_da,1,1.01783
3,26,marginal_loss_price_da,2,1.01783
3,27,total_lmp_rt,1,0.95335895
3,27,total_lmp_rt,2,0.95335895
3,28,rmccp,1,0.936623
3,28,rmccp,2,0.936623
3,29,system_energy_price_rt,1,0.9463327
3,29,system_energy_price_rt,2,0.9463327
