field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,target
da_as_as_mw_synchronized_reserve,0.03761404348658983,0.04589354717474623,0.03749389733083431,0.015517163526107576,0.08303986370346778,0.007658846786775155,0,0,0,1,0,0,1,1,gross_actual_interchange_mw
total_pjm_rmpcp_cr,0.023343166875523326,0.08848501134003524,0.06471505328250186,0.012063825255104195,0.09608637153090091,0.010599695521544798,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
total_pjm_self_sched_reg,0.02857560030973817,0.020931230645364257,0.0032051033529524146,0.007346901921737948,0.0672040942024339,0.006172843850933483,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
gen_fuel_wind_mw,0.022466712863499258,0.02114150735203748,0.009542827299261666,0.009427844980502729,0.07434868019470899,0.008849368800889889,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
rmpcp,0.013478142997422655,0.04654558326868818,0.03697612006371315,0.008150881674291208,0.07908708977813654,0.008336744082825176,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
da_as_mcp_primary_reserve,0.03103778974662131,0.048490784189830605,0.03921201654294483,0.00873132884803325,0.05664941271508973,0.0031937371527394945,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
da_as_as_mw_thirty_minutes_reserve,0.06702220108915534,0.06647999784120613,0.042012363288077066,0.014461049027528369,0.10575814962783467,0.006157495783365172,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
gen_fuel_wind_pct,0.06579916209592729,0.05057649449919125,0.038517840065818564,0.010736734523169846,0.10065202389439179,0.009530644928281384,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
net_inadv_interchange_mw,0.11374897087891199,0.11297912109556929,0.04907463546705971,0.007877829424388196,0.1134036141092301,0.005109503841410827,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
wind_generation_mw,0.021991890569314422,0.02113522926416474,0.009489246995809952,0.009779857929526282,0.07477761490569484,0.008985139237475423,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
total_pjm_loc_credit,0.0133558945534586,0.04573027329032193,0.02893414444747561,0.007159778868294984,0.08684210481918056,0.007736131320819148,0,0,0,0,0,0,0,0,gross_actual_interchange_mw
total_gen,0.2427722405949066,0.22962893906488355,0.14226513256628312,0.025561053885890677,0.2177909094872752,0.030237802809126517,1,1,1,1,1,1,6,1,net_sched_interchange_mw
gen_fuel_gas_pct,0.24329789490965617,0.24921569160792006,0.17145850175307914,0.021956421963819917,0.25391494437724793,0.03694207820204106,1,1,1,1,1,1,6,1,net_sched_interchange_mw
da_as_as_req_mw_primary_reserve,0.41312059202270446,0.3356692287677508,0.2192521473333706,0.1318799090837561,0.4365516523336268,0.13419819567962485,1,1,1,1,1,1,6,1,net_sched_interchange_mw
total_pjm_rmpcp_cr,0.2121402904246675,0.2629207223958241,0.1876772637367715,0.0406175162422947,0.2827995205297425,0.08075029897523728,1,1,1,1,1,1,6,1,net_sched_interchange_mw
total_pjm_assigned_reg,0.2874085994425414,0.26465097932431747,0.19580519630616794,0.03139950075195123,0.29039350526689656,0.042584224738441194,1,1,1,1,1,1,6,1,net_sched_interchange_mw
da_as_as_mw_primary_reserve,0.34649084931147844,0.3432502616086688,0.21448675326332475,0.07081615725200316,0.38869582196409486,0.11311591219032535,1,1,1,1,1,1,6,1,net_sched_interchange_mw
total_pjm_reg_purchases,0.2696312019942511,0.2415511793278087,0.1859959979989995,0.04100256999353046,0.260006685501377,0.03625245684090857,1,1,1,1,1,1,6,1,net_sched_interchange_mw
da_as_as_mw_synchronized_reserve,0.33928618674985966,0.3559733382153027,0.24729989783761577,0.051473715763362876,0.3308180821732649,0.06852344992880724,1,1,1,1,1,1,6,1,net_sched_interchange_mw
rmpcp,0.124375633570932,0.18722729354185322,0.13280929828242297,0.03128214376110805,0.2119446261001924,0.044174244842757594,1,1,1,1,1,1,6,1,net_sched_interchange_mw
da_as_as_mw_thirty_minutes_reserve,0.3877621448015867,0.4184643425160597,0.28133248724622184,0.05494836076182082,0.4180853312018632,0.1193735339559427,1,1,1,1,1,1,6,1,net_sched_interchange_mw
system_energy_price_da,0.12561577571056617,0.3249346917626218,0.23471362276950464,0.04417610279574335,0.2860930241123199,0.07276305011245676,1,1,1,1,1,1,6,1,net_sched_interchange_mw
gen_fuel_wind_pct,0.20054578686051588,0.21307129470471026,0.13483857419848927,0.020627424637765266,0.20940691225754043,0.02966796711938066,1,1,1,1,1,1,6,1,net_sched_interchange_mw
da_as_as_req_mw_thirty_minutes_reserve,0.4110546049396553,0.34117566428681206,0.24124458213096858,0.18964330074873306,0.4519697447597288,0.14354320716183705,1,1,1,1,1,1,6,1,net_sched_interchange_mw
gen_fuel_multiple_fuels_pct,0.32987069390966955,0.30915485158963324,0.21288745386965943,0.05012639957834426,0.34635364161026666,0.08068014971601063,1,1,1,1,1,1,6,1,net_sched_interchange_mw
da_as_as_req_mw_synchronized_reserve,0.4131336796926562,0.3356692287677508,0.2192521473333706,0.1318799090837561,0.43655136609679485,0.13419873033441723,1,1,1,1,1,1,6,1,net_sched_interchange_mw
gen_fuel_nuclear_mw,0.405748480110746,0.3316816989192871,0.19294924397692106,0.07686348035745734,0.39660563222669876,0.09847069599708667,1,1,1,1,1,1,6,1,net_sched_interchange_mw
gen_fuel_wind_mw,0.1607597042488503,0.17353231885851753,0.11181939541082446,0.018782488624642157,0.1795376315441899,0.02390454008531045,1,1,1,1,1,1,6,1,net_sched_interchange_mw
wind_generation_mw,0.16218763496824737,0.17468826528946568,0.11299549774887443,0.018934208206401067,0.17973504376823413,0.02376605523017069,1,1,1,1,1,1,6,1,net_sched_interchange_mw
