total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
0.0,0.227797,0.0,0.0,0.0,0.14065513,0.03824477,0.18191065,0.050754257,0.0,0.150478,0.21388426,0.21392566,0.0,0.16760997,0.0,0.21025135,0.108918056,0.20796168,0.0,0.0,0.08624875,0.14582652,0.0,0.14951202,0.0,0.11436761,0.073375486,0.07421994,0.12264554,4.6240842e-08,0.0,0.18684843,0.17702745,0.05619245,0.16632152,1.4435394e-17,0.21071093,0.1909548,0.2875858,0.30242148,0.0,0.19746736,0.15715006,0.114640586
0.0,0.22843033,0.0,0.0,0.0,0.14358068,0.035517287,0.17428908,0.048124075,0.0,0.13859351,0.21561126,0.21495135,0.0,0.16317147,0.0,0.21026658,0.10619722,0.20845152,0.0,0.0,0.086762555,0.1439644,0.0,0.15041679,0.0,0.11204274,0.066541925,0.06981158,0.11531162,1.498662e-08,0.0,0.18426135,0.18206185,0.055826247,0.16586205,9.195085e-19,0.21316384,0.19449444,0.28845915,0.29582402,0.0,0.18999302,0.1529635,0.10799201
0.0,0.22714774,0.0,0.0,0.0,0.14119743,0.035118528,0.1753397,0.046414137,0.0,0.1415291,0.21031608,0.21329747,0.0,0.17038895,0.0,0.2084194,0.104777224,0.20985913,0.0,0.0,0.08424483,0.13369994,0.0,0.14568903,0.0,0.10937133,0.06800559,0.07141252,0.118740655,4.4627138e-09,0.0,0.19048028,0.18073271,0.0588067,0.16538313,4.716749e-20,0.21260135,0.19630852,0.2766267,0.29867932,0.0,0.18989345,0.15327011,0.114209324
0.0,0.22309262,0.0,0.0,0.0,0.1389535,0.033193726,0.17970881,0.04595031,0.0,0.14240901,0.20793194,0.21233204,0.0,0.1639863,0.0,0.20540836,0.10775284,0.20843297,0.0,0.0,0.08517368,0.14256205,0.0,0.14768268,0.0,0.11024879,0.06672883,0.06863062,0.118421145,1.2129643e-09,0.0,0.18330002,0.17574759,0.054907043,0.16353728,1.9126603e-21,0.20790094,0.18820952,0.2741653,0.29636937,0.0,0.1897392,0.15649627,0.1121673
0.0,0.22464995,0.0,0.0,0.0,0.13831876,0.032063562,0.17849438,0.043665793,0.0,0.14516595,0.20817071,0.2087477,0.0,0.162986,0.0,0.20179011,0.105974585,0.21067314,0.0,0.0,0.08118411,0.13630101,0.0,0.14026034,0.0,0.10797759,0.06338497,0.0655512,0.11641647,2.9879604e-10,0.0,0.17922863,0.17772138,0.056348577,0.16159646,6.0072313e-23,0.20108147,0.19115765,0.2680486,0.29844752,0.0,0.19163653,0.15754354,0.10573771
0.0,0.2188353,0.0,0.0,0.0,0.13541506,0.029931286,0.16957945,0.04229717,0.0,0.14536795,0.20419466,0.20775062,0.0,0.16304576,0.0,0.20444106,0.09961699,0.20749563,0.0,0.0,0.08235824,0.13954486,0.0,0.14456274,0.0,0.10649474,0.06498197,0.067185715,0.11595526,6.619547e-11,0.0,0.18004084,0.17528301,0.052989475,0.16010405,1.4287405e-24,0.20739111,0.190189,0.27013958,0.29824,0.0,0.1916533,0.15379132,0.11141643
0.0,0.22157791,0.0,0.0,0.0,0.13899136,0.02909115,0.17372076,0.040831767,0.0,0.15086634,0.2095592,0.20270991,0.0,0.16402262,0.0,0.20560321,0.0984768,0.20012745,0.0,0.0,0.08011604,0.13217302,0.0,0.15070514,0.0,0.1070167,0.058334175,0.0671698,0.111584164,1.3079261e-11,0.0,0.17977789,0.17437646,0.059427317,0.15568407,2.509702e-26,0.19780378,0.18495432,0.27009624,0.29383978,0.0,0.19131438,0.15039712,0.11281822
0.0,0.2198135,0.0,0.0,0.0,0.14169297,0.027486287,0.16988811,0.039472938,0.0,0.14855735,0.20153892,0.20401485,0.0,0.16244799,0.0,0.19933872,0.10402456,0.20562662,0.0,0.0,0.07658216,0.13522616,0.0,0.14291789,0.0,0.10677213,0.060062163,0.06671331,0.11016098,2.2840258e-12,0.0,0.17817473,0.17687155,0.056036364,0.15381175,3.1666973e-28,0.19882198,0.18740389,0.26877293,0.29278195,0.0,0.18397874,0.15400156,0.112460524
0.0,0.2131863,0.0,0.0,0.0,0.14427549,0.026287993,0.17441905,0.037909452,0.0,0.1463028,0.19815445,0.20071901,0.0,0.16610709,0.0,0.20229997,0.102772325,0.19980709,0.0,0.0,0.0753594,0.12159506,0.0,0.14838953,0.0,0.099856,0.05044981,0.06555837,0.11696115,3.490626e-13,0.0,0.18289098,0.17439923,0.056087162,0.15970579,2.7824145e-30,0.19665734,0.18178922,0.27314335,0.2897085,0.0,0.1886962,0.15666609,0.11087521
0.0,0.21505801,0.0,0.0,0.0,0.15016635,0.025559546,0.17048348,0.035919648,0.0,0.14852746,0.19937117,0.19868714,0.0,0.16438502,0.0,0.2007759,0.10226793,0.19836389,0.0,0.0,0.07859599,0.1308345,0.0,0.14328724,0.0,0.104258895,0.05038345,0.06542865,0.114140734,4.6188785e-14,0.0,0.17356214,0.17440018,0.05774488,0.15914425,1.6441109e-32,0.2005986,0.18080893,0.26728585,0.28415546,0.0,0.17513059,0.15076846,0.10795019
